Year,Month,Day,Hour,Minute,Temperature,GHI
2017,1,6,20,30,24.6,0
2017,1,6,21,30,24.4,0
2017,1,6,22,30,24.2,0
2017,1,6,23,30,24.1,0
2017,1,7,0,30,23.9,0
2017,1,7,1,30,23.7,0
2017,1,7,2,30,23.6,0
2017,1,7,3,30,23.5,0
2017,1,7,4,30,23.5,0
2017,1,7,5,30,23.7,0
2017,1,7,6,30,24.8,51
2017,1,7,7,30,26,258
2017,1,7,8,30,26.7,477
2017,1,7,9,30,27.3,474
2017,1,7,10,30,27.8,504
2017,1,7,11,30,28,844
2017,1,7,12,30,28.1,831
2017,1,7,13,30,27.9,745
2017,1,7,14,30,27.6,579
2017,1,7,15,30,27,381
2017,1,7,16,30,26.1,162
2017,1,7,17,30,25.4,0
2017,1,7,18,30,25,0
2017,1,7,19,30,24.7,0
2017,1,7,20,30,24.5,0
2017,1,7,21,30,24.2,0
2017,1,7,22,30,24,0
2017,1,7,23,30,23.8,0
2017,1,8,0,30,23.6,0
2017,1,8,1,30,23.4,0
2017,1,8,2,30,23.2,0
2017,1,8,3,30,23,0
2017,1,8,4,30,23,0
2017,1,8,5,30,23.2,0
2017,1,8,6,30,24.3,58
2017,1,8,7,30,25.6,277
2017,1,8,8,30,26.4,503
2017,1,8,9,30,27.1,695
2017,1,8,10,30,27.6,829
2017,1,8,11,30,27.9,685
2017,1,8,12,30,28,865
2017,1,8,13,30,27.9,776
2017,1,8,14,30,27.5,622
2017,1,8,15,30,26.8,414
2017,1,8,16,30,25.8,181
2017,1,8,17,30,24.9,0
2017,1,8,18,30,24.5,0
2017,1,8,19,30,24.2,0
2017,1,8,20,30,23.9,0
2017,1,8,21,30,23.7,0
2017,1,8,22,30,23.6,0
2017,1,8,23,30,23.4,0
2017,1,9,0,30,23.2,0
2017,1,9,1,30,23.1,0
2017,1,9,2,30,22.9,0
2017,1,9,3,30,22.8,0
2017,1,9,4,30,22.8,0
2017,1,9,5,30,23.1,0
2017,1,9,6,30,24.3,64
2017,1,9,7,30,25.5,292
2017,1,9,8,30,26.3,525
2017,1,9,9,30,26.9,719
2017,1,9,10,30,27.5,854
2017,1,9,11,30,27.8,918
2017,1,9,12,30,28,906
2017,1,9,13,30,27.9,814
2017,1,9,14,30,27.6,650
2017,1,9,15,30,27.1,436
2017,1,9,16,30,26,196
2017,1,9,17,30,24.9,0
2017,1,9,18,30,24.5,0
2017,1,9,19,30,24.2,0
2017,1,9,20,30,23.9,0
2017,1,9,21,30,23.6,0
2017,1,9,22,30,23.4,0
2017,1,9,23,30,23.2,0
2017,1,10,0,30,23,0
2017,1,10,1,30,22.8,0
2017,1,10,2,30,22.7,0
2017,1,10,3,30,22.7,0
2017,1,10,4,30,22.6,0
2017,1,10,5,30,23,0
2017,1,10,6,30,24.3,56
2017,1,10,7,30,25.6,271
2017,1,10,8,30,26.4,495
2017,1,10,9,30,27.1,686
2017,1,10,10,30,27.7,814
2017,1,10,11,30,28,866
2017,1,10,12,30,28.2,848
2017,1,10,13,30,28.1,756
2017,1,10,14,30,27.9,599
2017,1,10,15,30,27.4,395
2017,1,10,16,30,26.5,170
2017,1,10,17,30,25.6,0
2017,1,10,18,30,25.3,0
2017,1,10,19,30,25,0
2017,1,10,20,30,24.8,0
2017,1,10,21,30,24.6,0
2017,1,10,22,30,24.4,0
2017,1,10,23,30,24.2,0
2017,1,11,0,30,24.1,0
2017,1,11,1,30,23.9,0
2017,1,11,2,30,23.8,0
2017,1,11,3,30,23.9,0
2017,1,11,4,30,23.9,0
2017,1,11,5,30,24.1,0
2017,1,11,6,30,25.1,31
2017,1,11,7,30,26.3,250
2017,1,11,8,30,27.1,467
2017,1,11,9,30,27.8,651
2017,1,11,10,30,28.3,780
2017,1,11,11,30,28.5,826
2017,1,11,12,30,28.6,814
2017,1,11,13,30,28.4,727
2017,1,11,14,30,28,569
2017,1,11,15,30,27.4,271
2017,1,11,16,30,26.7,157
2017,1,11,17,30,25.9,0
2017,1,11,18,30,25.5,0
2017,1,11,19,30,25.2,0
2017,1,11,20,30,25,0
2017,1,11,21,30,24.8,0
2017,1,11,22,30,24.6,0
2017,1,11,23,30,24.4,0
2017,1,12,0,30,24.3,0
2017,1,12,1,30,24.2,0
2017,1,12,2,30,24.1,0
2017,1,12,3,30,24.2,0
2017,1,12,4,30,24.2,0
2017,1,12,5,30,24.6,0
2017,1,12,6,30,25.5,36
2017,1,12,7,30,26.5,117
2017,1,12,8,30,27.2,448
2017,1,12,9,30,27.8,457
2017,1,12,10,30,28.2,756
2017,1,12,11,30,28.4,819
2017,1,12,12,30,28.4,808
2017,1,12,13,30,28.3,724
2017,1,12,14,30,28,575
2017,1,12,15,30,27.5,376
2017,1,12,16,30,26.8,161
2017,1,12,17,30,26.1,0
2017,1,12,18,30,25.8,0
2017,1,12,19,30,25.5,0
2017,1,12,20,30,25.2,0
2017,1,12,21,30,25,0
2017,1,12,22,30,24.8,0
2017,1,12,23,30,24.6,0
2017,1,13,0,30,24.4,0
2017,1,13,1,30,24.2,0
2017,1,13,2,30,24.2,0
2017,1,13,3,30,24.1,0
2017,1,13,4,30,24.1,0
2017,1,13,5,30,24.5,0
2017,1,13,6,30,25.5,37
2017,1,13,7,30,26.5,238
2017,1,13,8,30,27.1,455
2017,1,13,9,30,27.7,638
2017,1,13,10,30,28,517
2017,1,13,11,30,28.2,828
2017,1,13,12,30,28.3,816
2017,1,13,13,30,28.2,732
2017,1,13,14,30,27.8,583
2017,1,13,15,30,27.3,385
2017,1,13,16,30,26.6,167
2017,1,13,17,30,25.9,0
2017,1,13,18,30,25.5,0
2017,1,13,19,30,25.2,0
2017,1,13,20,30,25.1,0
2017,1,13,21,30,25,0
2017,1,13,22,30,24.9,0
2017,1,13,23,30,24.8,0
2017,1,14,0,30,24.7,0
2017,1,14,1,30,24.5,0
2017,1,14,2,30,24.4,0
2017,1,14,3,30,24.3,0
2017,1,14,4,30,24.2,0
2017,1,14,5,30,24.4,0
2017,1,14,6,30,25.4,46
2017,1,14,7,30,26.4,254
2017,1,14,8,30,27.1,477
2017,1,14,9,30,27.6,668
2017,1,14,10,30,28,604
2017,1,14,11,30,28.2,442
2017,1,14,12,30,28.2,690
2017,1,14,13,30,28.1,623
2017,1,14,14,30,27.7,462
2017,1,14,15,30,27.3,352
2017,1,14,16,30,26.6,180
2017,1,14,17,30,25.9,0
2017,1,14,18,30,25.5,0
2017,1,14,19,30,25.3,0
2017,1,14,20,30,25.1,0
2017,1,14,21,30,24.9,0
2017,1,14,22,30,24.7,0
2017,1,14,23,30,24.6,0
2017,1,15,0,30,24.4,0
2017,1,15,1,30,24.2,0
2017,1,15,2,30,24.1,0
2017,1,15,3,30,24,0
2017,1,15,4,30,23.9,0
2017,1,15,5,30,24.2,0
2017,1,15,6,30,25.3,52
2017,1,15,7,30,26.3,271
2017,1,15,8,30,27,504
2017,1,15,9,30,27.5,702
2017,1,15,10,30,27.8,840
2017,1,15,11,30,28,893
2017,1,15,12,30,28,679
2017,1,15,13,30,27.9,796
2017,1,15,14,30,27.5,397
2017,1,15,15,30,26.9,238
2017,1,15,16,30,26.2,94
2017,1,15,17,30,25.6,8
2017,1,15,18,30,25.3,0
2017,1,15,19,30,25,0
2017,1,15,20,30,24.8,0
2017,1,15,21,30,24.6,0
2017,1,15,22,30,24.4,0
2017,1,15,23,30,24.2,0
2017,1,16,0,30,24.1,0
2017,1,16,1,30,23.9,0
2017,1,16,2,30,23.7,0
2017,1,16,3,30,23.6,0
2017,1,16,4,30,23.5,0
2017,1,16,5,30,23.8,0
2017,1,16,6,30,24.9,55
2017,1,16,7,30,25.9,272
2017,1,16,8,30,26.7,502
2017,1,16,9,30,27.2,695
2017,1,16,10,30,27.6,829
2017,1,16,11,30,27.9,864
2017,1,16,12,30,28,855
2017,1,16,13,30,27.8,772
2017,1,16,14,30,27.4,599
2017,1,16,15,30,26.8,394
2017,1,16,16,30,26,173
2017,1,16,17,30,25.2,5
2017,1,16,18,30,24.8,0
2017,1,16,19,30,24.6,0
2017,1,16,20,30,24.4,0
2017,1,16,21,30,24.2,0
2017,1,16,22,30,23.9,0
2017,1,16,23,30,23.7,0
2017,1,17,0,30,23.4,0
2017,1,17,1,30,23.2,0
2017,1,17,2,30,22.9,0
2017,1,17,3,30,22.7,0
2017,1,17,4,30,22.6,0
2017,1,17,5,30,22.8,0
2017,1,17,6,30,23.8,50
2017,1,17,7,30,25,262
2017,1,17,8,30,25.8,457
2017,1,17,9,30,26.4,558
2017,1,17,10,30,26.9,610
2017,1,17,11,30,27.3,665
2017,1,17,12,30,27.4,750
2017,1,17,13,30,27.3,762
2017,1,17,14,30,27,637
2017,1,17,15,30,26.4,432
2017,1,17,16,30,25.6,200
2017,1,17,17,30,24.8,11
2017,1,17,18,30,24.4,0
2017,1,17,19,30,24.2,0
2017,1,17,20,30,24,0
2017,1,17,21,30,23.9,0
2017,1,17,22,30,23.7,0
2017,1,17,23,30,23.6,0
2017,1,18,0,30,23.5,0
2017,1,18,1,30,23.5,0
2017,1,18,2,30,23.4,0
2017,1,18,3,30,23.4,0
2017,1,18,4,30,23.4,0
2017,1,18,5,30,23.7,0
2017,1,18,6,30,24.5,15
2017,1,18,7,30,25.5,77
2017,1,18,8,30,26.4,180
2017,1,18,9,30,27.1,373
2017,1,18,10,30,27.6,561
2017,1,18,11,30,27.8,632
2017,1,18,12,30,27.9,607
2017,1,18,13,30,27.7,536
2017,1,18,14,30,27.3,347
2017,1,18,15,30,26.7,146
2017,1,18,16,30,26.1,58
2017,1,18,17,30,25.7,13
2017,1,18,18,30,25.6,0
2017,1,18,19,30,25.6,0
2017,1,18,20,30,25.5,0
2017,1,18,21,30,25.4,0
2017,1,18,22,30,25.3,0
2017,1,18,23,30,25.2,0
2017,1,19,0,30,24.9,0
2017,1,19,1,30,24.7,0
2017,1,19,2,30,24.6,0
2017,1,19,3,30,24.5,0
2017,1,19,4,30,24.4,0
2017,1,19,5,30,24.7,0
2017,1,19,6,30,25.6,20
2017,1,19,7,30,26.6,57
2017,1,19,8,30,27.3,90
2017,1,19,9,30,27.8,153
2017,1,19,10,30,28.1,196
2017,1,19,11,30,28.3,228
2017,1,19,12,30,28.3,282
2017,1,19,13,30,28.1,265
2017,1,19,14,30,27.7,177
2017,1,19,15,30,27.2,101
2017,1,19,16,30,26.5,43
2017,1,19,17,30,26,11
2017,1,19,18,30,25.7,0
2017,1,19,19,30,25.4,0
2017,1,19,20,30,25.2,0
2017,1,19,21,30,25,0
2017,1,19,22,30,24.9,0
2017,1,19,23,30,24.8,0
2017,1,20,0,30,24.7,0
2017,1,20,1,30,24.6,0
2017,1,20,2,30,24.5,0
2017,1,20,3,30,24.5,0
2017,1,20,4,30,24.4,0
2017,1,20,5,30,24.6,0
2017,1,20,6,30,25.1,16
2017,1,20,7,30,25.8,62
2017,1,20,8,30,26.5,127
2017,1,20,9,30,27.1,148
2017,1,20,10,30,27.6,142
2017,1,20,11,30,28.1,128
2017,1,20,12,30,28.2,95
2017,1,20,13,30,28.1,66
2017,1,20,14,30,27.8,40
2017,1,20,15,30,27.2,22
2017,1,20,16,30,26.6,10
2017,1,20,17,30,26.1,2
2017,1,20,18,30,25.8,0
2017,1,20,19,30,25.7,0
2017,1,20,20,30,25.6,0
2017,1,20,21,30,25.5,0
2017,1,20,22,30,25.4,0
2017,1,20,23,30,25.3,0
2017,1,21,0,30,25.2,0
2017,1,21,1,30,25.1,0
2017,1,21,2,30,25,0
2017,1,21,3,30,25,0
2017,1,21,4,30,25,0
2017,1,21,5,30,25.2,0
2017,1,21,6,30,25.6,5
2017,1,21,7,30,26.2,12
2017,1,21,8,30,26.8,26
2017,1,21,9,30,27.4,44
2017,1,21,10,30,27.7,62
2017,1,21,11,30,27.8,71
2017,1,21,12,30,27.8,70
2017,1,21,13,30,27.7,57
2017,1,21,14,30,27.5,39
2017,1,21,15,30,27.1,22
2017,1,21,16,30,26.6,10
2017,1,21,17,30,26.2,2
2017,1,21,18,30,26.1,0
2017,1,21,19,30,26,0
2017,1,21,20,30,25.9,0
2017,1,21,21,30,25.7,0
2017,1,21,22,30,25.6,0
2017,1,21,23,30,25.4,0
2017,1,22,0,30,25.2,0
2017,1,22,1,30,25,0
2017,1,22,2,30,24.9,0
2017,1,22,3,30,24.8,0
2017,1,22,4,30,24.7,0
2017,1,22,5,30,24.8,0
2017,1,22,6,30,25.3,15
2017,1,22,7,30,26.2,62
2017,1,22,8,30,27,118
2017,1,22,9,30,27.6,193
2017,1,22,10,30,28,323
2017,1,22,11,30,28.2,445
2017,1,22,12,30,28.2,500
2017,1,22,13,30,28,503
2017,1,22,14,30,27.7,437
2017,1,22,15,30,27.2,323
2017,1,22,16,30,26.5,173
2017,1,22,17,30,25.9,13
2017,1,22,18,30,25.5,0
2017,1,22,19,30,25.2,0
2017,1,22,20,30,25,0
2017,1,22,21,30,24.8,0
2017,1,22,22,30,24.6,0
2017,1,22,23,30,24.4,0
2017,1,23,0,30,24.3,0
2017,1,23,1,30,24.1,0
2017,1,23,2,30,24.1,0
2017,1,23,3,30,24.1,0
2017,1,23,4,30,24.1,0
2017,1,23,5,30,24.3,0
2017,1,23,6,30,25,31
2017,1,23,7,30,26,160
2017,1,23,8,30,26.9,325
2017,1,23,9,30,27.6,585
2017,1,23,10,30,28,708
2017,1,23,11,30,28.3,771
2017,1,23,12,30,28.3,762
2017,1,23,13,30,28.1,686
2017,1,23,14,30,27.7,627
2017,1,23,15,30,27.2,429
2017,1,23,16,30,26.5,203
2017,1,23,17,30,26,15
2017,1,23,18,30,25.6,0
2017,1,23,19,30,25.4,0
2017,1,23,20,30,25.3,0
2017,1,23,21,30,25.1,0
2017,1,23,22,30,25,0
2017,1,23,23,30,24.8,0
2017,1,24,0,30,24.7,0
2017,1,24,1,30,24.5,0
2017,1,24,2,30,24.5,0
2017,1,24,3,30,24.4,0
2017,1,24,4,30,24.4,0
2017,1,24,5,30,24.6,0
2017,1,24,6,30,25.3,5
2017,1,24,7,30,26.2,12
2017,1,24,8,30,27,325
2017,1,24,9,30,27.5,291
2017,1,24,10,30,27.8,428
2017,1,24,11,30,27.9,695
2017,1,24,12,30,27.9,718
2017,1,24,13,30,27.6,533
2017,1,24,14,30,27.3,527
2017,1,24,15,30,26.9,314
2017,1,24,16,30,26.4,70
2017,1,24,17,30,26.1,10
2017,1,24,18,30,25.9,0
2017,1,24,19,30,25.7,0
2017,1,24,20,30,25.6,0
2017,1,24,21,30,25.5,0
2017,1,24,22,30,25.3,0
2017,1,24,23,30,25.2,0
2017,1,25,0,30,25.2,0
2017,1,25,1,30,25.1,0
2017,1,25,2,30,25,0
2017,1,25,3,30,24.9,0
2017,1,25,4,30,24.9,0
2017,1,25,5,30,24.9,0
2017,1,25,6,30,25.4,42
2017,1,25,7,30,26.1,245
2017,1,25,8,30,26.8,464
2017,1,25,9,30,27.5,654
2017,1,25,10,30,27.9,209
2017,1,25,11,30,28.2,70
2017,1,25,12,30,28.2,523
2017,1,25,13,30,28.1,312
2017,1,25,14,30,27.7,362
2017,1,25,15,30,27.2,235
2017,1,25,16,30,26.6,34
2017,1,25,17,30,26.1,5
2017,1,25,18,30,25.8,0
2017,1,25,19,30,25.7,0
2017,1,25,20,30,25.7,0
2017,1,25,21,30,25.6,0
2017,1,25,22,30,25.5,0
2017,1,25,23,30,25.4,0
2017,1,26,0,30,25.3,0
2017,1,26,1,30,25.2,0
2017,1,26,2,30,25.1,0
2017,1,26,3,30,25.1,0
2017,1,26,4,30,25,0
2017,1,26,5,30,25.1,0
2017,1,26,6,30,25.4,42
2017,1,26,7,30,26,210
2017,1,26,8,30,26.8,475
2017,1,26,9,30,27.5,56
2017,1,26,10,30,27.9,490
2017,1,26,11,30,28,388
2017,1,26,12,30,27.8,291
2017,1,26,13,30,27.5,48
2017,1,26,14,30,27.3,41
2017,1,26,15,30,26.9,103
2017,1,26,16,30,26.4,37
2017,1,26,17,30,26,5
2017,1,26,18,30,25.9,0
2017,1,26,19,30,25.8,0
2017,1,26,20,30,25.8,0
2017,1,26,21,30,25.7,0
2017,1,26,22,30,25.6,0
2017,1,26,23,30,25.5,0
2017,1,27,0,30,25.4,0
2017,1,27,1,30,25.3,0
2017,1,27,2,30,25.3,0
2017,1,27,3,30,25.3,0
2017,1,27,4,30,25.3,0
2017,1,27,5,30,25.4,0
2017,1,27,6,30,25.7,12
2017,1,27,7,30,26.2,12
2017,1,27,8,30,26.7,202
2017,1,27,9,30,27.1,505
2017,1,27,10,30,27.3,223
2017,1,27,11,30,27.2,188
2017,1,27,12,30,27,221
2017,1,27,13,30,26.8,247
2017,1,27,14,30,26.6,306
2017,1,27,15,30,26.2,114
2017,1,27,16,30,25.8,10
2017,1,27,17,30,25.5,3
2017,1,27,18,30,25.4,0
2017,1,27,19,30,25.3,0
2017,1,27,20,30,25.2,0
2017,1,27,21,30,25.1,0
2017,1,27,22,30,25,0
2017,1,27,23,30,24.9,0
2017,1,28,0,30,24.8,0
2017,1,28,1,30,24.7,0
2017,1,28,2,30,24.6,0
2017,1,28,3,30,24.6,0
2017,1,28,4,30,24.6,0
2017,1,28,5,30,24.9,0
2017,1,28,6,30,25.4,55
2017,1,28,7,30,25.9,275
2017,1,28,8,30,26.5,505
2017,1,28,9,30,27,699
2017,1,28,10,30,27.4,837
2017,1,28,11,30,27.6,884
2017,1,28,12,30,27.7,880
2017,1,28,13,30,27.6,799
2017,1,28,14,30,27.3,632
2017,1,28,15,30,26.9,355
2017,1,28,16,30,26.3,96
2017,1,28,17,30,25.7,19
2017,1,28,18,30,25.5,0
2017,1,28,19,30,25.3,0
2017,1,28,20,30,25.2,0
2017,1,28,21,30,25.1,0
2017,1,28,22,30,25.1,0
2017,1,28,23,30,25,0
2017,1,29,0,30,25,0
2017,1,29,1,30,24.9,0
2017,1,29,2,30,24.9,0
2017,1,29,3,30,24.8,0
2017,1,29,4,30,24.8,0
2017,1,29,5,30,25,0
2017,1,29,6,30,25.6,53
2017,1,29,7,30,26.3,134
2017,1,29,8,30,27.1,504
2017,1,29,9,30,27.7,364
2017,1,29,10,30,28,493
2017,1,29,11,30,28.2,633
2017,1,29,12,30,28.3,534
2017,1,29,13,30,28.2,578
2017,1,29,14,30,27.9,658
2017,1,29,15,30,27.5,454
2017,1,29,16,30,26.9,222
2017,1,29,17,30,26.3,22
2017,1,29,18,30,26,0
2017,1,29,19,30,25.7,0
2017,1,29,20,30,25.5,0
2017,1,29,21,30,25.2,0
2017,1,29,22,30,25,0
2017,1,29,23,30,24.8,0
2017,1,30,0,30,24.5,0
2017,1,30,1,30,24.4,0
2017,1,30,2,30,24.2,0
2017,1,30,3,30,24,0
2017,1,30,4,30,23.9,0
2017,1,30,5,30,24.2,0
2017,1,30,6,30,24.9,54
2017,1,30,7,30,25.7,276
2017,1,30,8,30,26.6,509
2017,1,30,9,30,27.4,708
2017,1,30,10,30,27.8,851
2017,1,30,11,30,28.1,922
2017,1,30,12,30,28.1,916
2017,1,30,13,30,27.9,834
2017,1,30,14,30,27.5,680
2017,1,30,15,30,27,469
2017,1,30,16,30,26.2,231
2017,1,30,17,30,25.5,23
2017,1,30,18,30,25.1,0
2017,1,30,19,30,24.8,0
2017,1,30,20,30,24.6,0
2017,1,30,21,30,24.4,0
2017,1,30,22,30,24.2,0
2017,1,30,23,30,24,0
2017,1,31,0,30,23.8,0
2017,1,31,1,30,23.7,0
2017,1,31,2,30,23.5,0
2017,1,31,3,30,23.4,0
2017,1,31,4,30,23.4,0
2017,1,31,5,30,23.7,0
2017,1,31,6,30,24.7,55
2017,1,31,7,30,25.7,282
2017,1,31,8,30,26.4,521
2017,1,31,9,30,27.1,724
2017,1,31,10,30,27.6,865
2017,1,31,11,30,28,923
2017,1,31,12,30,28.1,919
2017,1,31,13,30,28,834
2017,1,31,14,30,27.8,680
2017,1,31,15,30,27.2,471
2017,1,31,16,30,26.2,231
2017,1,31,17,30,25.3,23
2017,1,31,18,30,24.8,0
2017,1,31,19,30,24.4,0
2017,1,31,20,30,24.1,0
2017,1,31,21,30,23.9,0
2017,1,31,22,30,23.6,0
2017,1,31,23,30,23.4,0
2017,2,1,0,30,23.2,0
2017,2,1,1,30,23.1,0
2017,2,1,2,30,23,0
2017,2,1,3,30,22.9,0
2017,2,1,4,30,22.9,0
2017,2,1,5,30,23.5,0
2017,2,1,6,30,24.6,47
2017,2,1,7,30,25.6,266
2017,2,1,8,30,26.4,499
2017,2,1,9,30,27,702
2017,2,1,10,30,27.6,849
2017,2,1,11,30,27.9,931
2017,2,1,12,30,28.1,929
2017,2,1,13,30,28.1,843
2017,2,1,14,30,27.8,685
2017,2,1,15,30,27.3,474
2017,2,1,16,30,26.3,234
2017,2,1,17,30,25.3,23
2017,2,1,18,30,24.8,0
2017,2,1,19,30,24.6,0
2017,2,1,20,30,24.3,0
2017,2,1,21,30,24.1,0
2017,2,1,22,30,23.9,0
2017,2,1,23,30,23.8,0
2017,2,2,0,30,23.7,0
2017,2,2,1,30,23.6,0
2017,2,2,2,30,23.5,0
2017,2,2,3,30,23.5,0
2017,2,2,4,30,23.4,0
2017,2,2,5,30,23.8,0
2017,2,2,6,30,25,57
2017,2,2,7,30,26.2,287
2017,2,2,8,30,26.8,528
2017,2,2,9,30,27.3,733
2017,2,2,10,30,27.7,878
2017,2,2,11,30,27.9,949
2017,2,2,12,30,27.9,941
2017,2,2,13,30,27.7,853
2017,2,2,14,30,27.4,700
2017,2,2,15,30,26.8,488
2017,2,2,16,30,26,244
2017,2,2,17,30,25.1,27
2017,2,2,18,30,24.7,0
2017,2,2,19,30,24.4,0
2017,2,2,20,30,24.2,0
2017,2,2,21,30,24,0
2017,2,2,22,30,23.9,0
2017,2,2,23,30,23.7,0
2017,2,3,0,30,23.6,0
2017,2,3,1,30,23.5,0
2017,2,3,2,30,23.5,0
2017,2,3,3,30,23.5,0
2017,2,3,4,30,23.5,0
2017,2,3,5,30,23.9,0
2017,2,3,6,30,24.9,56
2017,2,3,7,30,25.8,283
2017,2,3,8,30,26.6,520
2017,2,3,9,30,27.2,723
2017,2,3,10,30,27.6,646
2017,2,3,11,30,27.9,596
2017,2,3,12,30,28,756
2017,2,3,13,30,27.8,833
2017,2,3,14,30,27.5,669
2017,2,3,15,30,27,460
2017,2,3,16,30,26.1,223
2017,2,3,17,30,25.3,20
2017,2,3,18,30,24.8,0
2017,2,3,19,30,24.5,0
2017,2,3,20,30,24.2,0
2017,2,3,21,30,24,0
2017,2,3,22,30,23.8,0
2017,2,3,23,30,23.7,0
2017,2,4,0,30,23.5,0
2017,2,4,1,30,23.4,0
2017,2,4,2,30,23.4,0
2017,2,4,3,30,23.4,0
2017,2,4,4,30,23.4,0
2017,2,4,5,30,23.8,0
2017,2,4,6,30,24.8,53
2017,2,4,7,30,25.8,277
2017,2,4,8,30,26.6,518
2017,2,4,9,30,27.2,721
2017,2,4,10,30,27.7,866
2017,2,4,11,30,27.9,934
2017,2,4,12,30,28,924
2017,2,4,13,30,27.9,838
